Starting "SYS"."SYS_EXPORT_TABLE_01":  
Estimate in progress using BLOCKS method...
Processing object type TABLE_EXPORT/TABLE/TABLE_DATA
Total estimation using BLOCKS method: 1.158 GB
Processing object type TABLE_EXPORT/TABLE/TABLE
     Completed 120 TABLE objects in 9 seconds
Processing object type TABLE_EXPORT/TABLE/CONSTRAINT/CONSTRAINT
     Completed 113 CONSTRAINT objects in 1 seconds
Processing object type TABLE_EXPORT/TABLE/CONSTRAINT/REF_CONSTRAINT
     Completed 1 REF_CONSTRAINT objects in 0 seconds
. . exported "SYS"."WRH$_EVENT_HISTOGRAM":"WRH$_EVENT__3430975138_771"  7.015 KB       0 rows
. . exported "SYS"."WRH$_LATCH":"WRH$_LATCH_3430975138_747"  10.99 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_796"  7.828 KB       0 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_895"  803.1 KB   19456 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_675"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_747"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_675"  29.07 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_723"  6.593 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_852"  6.593 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_895"  890.0 KB   32000 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_723"  8.632 KB       0 rows
. . exported "SYS"."WRH$_ACTIVE_SESSION_HISTORY":"WRH$_ACTIVE_3430975138_771"  26.10 KB       0 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_796"  6.992 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_852"  10.60 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_852"  15.52 KB       0 rows
. . exported "SYS"."WRH$_LATCH":"WRH$_LATCH_3430975138_895"  1.609 MB   32128 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_675"  7.828 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_723"  7.828 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_828"  7.828 KB       0 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_699"  7.406 KB       0 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_852"  7.406 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_852"  11.02 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_699"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_699"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_723"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_771"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_895"  432.3 KB   12320 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_699"  29.07 KB       0 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_723"  29.07 KB       0 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_895"  1.116 MB    4936 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_699"  8.632 KB       0 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_852"  8.632 KB       0 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_771"  6.992 KB       0 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_852"  6.992 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_771"  7.828 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_852"  7.828 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_895"  747.2 KB   12089 rows
. . exported "SYS"."WRH$_LOG"                            73.14 KB    1024 rows
. . exported "SYS"."WRH$_MEM_DYNAMIC_COMP"               77.26 KB    1024 rows
. . exported "SYS"."WRH$_MUTEX_SLEEP"                    64.91 KB    1177 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_747"  7.406 KB       0 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_771"  7.406 KB       0 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_796"  7.406 KB       0 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_828"  7.406 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_723"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_747"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_771"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_796"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_828"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_852"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_895"  686.3 KB    6163 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_796"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_747"  29.07 KB       0 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_771"  29.07 KB       0 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_796"  29.07 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_747"  6.593 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_771"  6.593 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_796"  6.593 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_828"  6.593 KB       0 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_747"  8.632 KB       0 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_771"  8.632 KB       0 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_796"  8.632 KB       0 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_828"  8.632 KB       0 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_895"  602.3 KB   13172 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_852"  8.617 KB       0 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_747"  6.992 KB       0 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_828"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT_OBJ"                   442.4 KB    4563 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_828"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_852"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SHARED_POOL_ADVICE"             45.92 KB     694 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_828"  29.07 KB       0 rows
. . exported "SYS"."WRH$_ACTIVE_SESSION_HISTORY":"WRH$_ACTIVE_3430975138_747"  26.10 KB       0 rows
. . exported "SYS"."WRH$_IOSTAT_FUNCTION"                49.07 KB     832 rows
. . exported "SYS"."WRH$_LIBRARYCACHE"                   50.18 KB     704 rows
. . exported "SYS"."WRH$_PGASTAT"                        54.71 KB    1026 rows
. . exported "SYS"."WRH$_PGA_TARGET_ADVICE"              56.74 KB     896 rows
. . exported "SYS"."WRH$_RESOURCE_LIMIT"                 42.28 KB     576 rows
. . exported "SYS"."WRH$_SGA_TARGET_ADVICE"              41.59 KB     942 rows
. . exported "SYS"."WRH$_BUFFER_POOL_STATISTICS"         20.85 KB      64 rows
. . exported "SYS"."WRH$_CLUSTER_INTERCON"               11.58 KB      64 rows
. . exported "SYS"."WRH$_CR_BLOCK_SERVER"                18.97 KB      64 rows
. . exported "SYS"."WRH$_CURRENT_BLOCK_SERVER"           15.68 KB      64 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_895"  294.1 KB    5696 rows
. . exported "SYS"."WRH$_IC_CLIENT_STATS"                30.69 KB     704 rows
. . exported "SYS"."WRH$_IC_DEVICE_STATS"                38.46 KB     256 rows
. . exported "SYS"."WRH$_INSTANCE_RECOVERY"              17.65 KB      64 rows
. . exported "SYS"."WRH$_IOSTAT_FILETYPE"                57.05 KB     768 rows
. . exported "SYS"."WRH$_JAVA_POOL_ADVICE"               14.46 KB     128 rows
. . exported "SYS"."WRH$_PROCESS_MEMORY_SUMMARY"         27.28 KB     256 rows
. . exported "SYS"."WRH$_SGA"                            16.15 KB     256 rows
. . exported "SYS"."WRH$_SQL_SUMMARY"                    9.820 KB      64 rows
. . exported "SYS"."WRH$_SQL_WORKAREA_HISTOGRAM"         31.46 KB     590 rows
. . exported "SYS"."WRH$_TEMPSTATXS"                     14.53 KB      64 rows
. . exported "SYS"."WRH$_THREAD"                         28.95 KB     512 rows
. . exported "SYS"."WRH$_UNDOSTAT"                       19.78 KB      46 rows
. . exported "SYS"."WRH$_ACTIVE_SESSION_HISTORY":"WRH$_ACTIVE_3430975138_723"  26.10 KB       0 rows
. . exported "SYS"."WRH$_ACTIVE_SESSION_HISTORY":"WRH$_ACTIVE_3430975138_895"  330.5 KB    1233 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_796"  15.52 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_796"  11.02 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_796"  8.617 KB       0 rows
. . exported "SYS"."WRM$_SNAPSHOT"                       14.09 KB      64 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_699"  9.851 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_747"  9.851 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_796"  9.851 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_675"  10.60 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_699"  10.60 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_723"  10.60 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_747"  10.60 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_771"  10.60 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_796"  10.60 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_828"  10.60 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_675"  15.52 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_699"  15.52 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_723"  15.52 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_747"  15.52 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_771"  15.52 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_828"  15.52 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_895"  200.2 KB    1792 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_747"  8.609 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_796"  8.609 KB       0 rows
. . exported "SYS"."WRH$_MEMORY_RESIZE_OPS"              9.820 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_699"  6.593 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_747"  6.593 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_796"  6.593 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_675"  11.02 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_699"  11.02 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_723"  11.02 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_747"  11.02 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_771"  11.02 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_828"  11.02 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_895"  231.6 KB    3520 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_699"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_723"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_747"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_796"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_699"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_747"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_796"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SYS_TIME_MODEL":"WRH$_SYS_TI_3430975138_699"  6.601 KB       0 rows
. . exported "SYS"."WRH$_SYS_TIME_MODEL":"WRH$_SYS_TI_3430975138_747"  6.601 KB       0 rows
. . exported "SYS"."WRH$_SYS_TIME_MODEL":"WRH$_SYS_TI_3430975138_796"  6.601 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_675"  8.617 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_699"  8.617 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_723"  8.617 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_747"  8.617 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_771"  8.617 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_828"  8.617 KB       0 rows
. . exported "SYS"."WRH$_TABLESPACE_STAT":"WRH$_TABLES_3430975138_895"  203.9 KB    2944 rows
. . exported "SYS"."WRH$_WAITSTAT":"WRH$_WAITST_3430975138_699"  6.992 KB       0 rows
. . exported "SYS"."WRH$_WAITSTAT":"WRH$_WAITST_3430975138_747"  6.992 KB       0 rows
. . exported "SYS"."WRH$_WAITSTAT":"WRH$_WAITST_3430975138_796"  6.992 KB       0 rows
. . exported "SYS"."WRH$_ACTIVE_SESSION_HISTORY":"WRH$_ACTIVE_3430975138_675"  26.10 KB       0 rows
. . exported "SYS"."WRH$_ACTIVE_SESSION_HISTORY":"WRH$_ACTIVE_3430975138_699"  26.10 KB       0 rows
. . exported "SYS"."WRH$_ACTIVE_SESSION_HISTORY":"WRH$_ACTIVE_3430975138_828"  26.10 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_675"  9.851 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_723"  9.851 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_771"  9.851 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_828"  9.851 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_852"  9.851 KB       0 rows
. . exported "SYS"."WRH$_DB_CACHE_ADVICE":"WRH$_DB_CAC_3430975138_895"  92.27 KB    1288 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_895"  171.7 KB    3136 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_675"  8.609 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_699"  8.609 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_723"  8.609 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_771"  8.609 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_828"  8.609 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_852"  8.609 KB       0 rows
. . exported "SYS"."WRH$_INTERCONNECT_PINGS":"WRH$_INTERC_3430975138_895"  37.92 KB     512 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_675"  6.593 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_723"  6.593 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_771"  6.593 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_828"  6.593 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_852"  6.593 KB       0 rows
. . exported "SYS"."WRH$_OSSTAT":"WRH$_OSSTAT_3430975138_895"  39.49 KB    1280 rows
. . exported "SYS"."WRH$_RSRC_CONSUMER_GROUP"            18.92 KB       0 rows
. . exported "SYS"."WRH$_RSRC_PLAN"                      8.195 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_675"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_771"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_828"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_852"  7.820 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_WAIT_CLASS":"WRH$_SERVIC_3430975138_895"  114.9 KB    2200 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_675"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_723"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_771"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_828"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_852"  6.992 KB       0 rows
. . exported "SYS"."WRH$_SGASTAT":"WRH$_SGASTA_3430975138_895"  79.06 KB    1536 rows
. . exported "SYS"."WRH$_SQL_BIND_METADATA"              299.6 KB    5214 rows
. . exported "SYS"."WRH$_SYS_TIME_MODEL":"WRH$_SYS_TI_3430975138_675"  6.601 KB       0 rows
. . exported "SYS"."WRH$_SYS_TIME_MODEL":"WRH$_SYS_TI_3430975138_723"  6.601 KB       0 rows
. . exported "SYS"."WRH$_SYS_TIME_MODEL":"WRH$_SYS_TI_3430975138_771"  6.601 KB       0 rows
. . exported "SYS"."WRH$_SYS_TIME_MODEL":"WRH$_SYS_TI_3430975138_828"  6.601 KB       0 rows
. . exported "SYS"."WRH$_SYS_TIME_MODEL":"WRH$_SYS_TI_3430975138_852"  6.601 KB       0 rows
. . exported "SYS"."WRH$_SYS_TIME_MODEL":"WRH$_SYS_TI_3430975138_895"  42.59 KB    1216 rows
. . exported "SYS"."WRH$_WAITSTAT":"WRH$_WAITST_3430975138_675"  6.992 KB       0 rows
. . exported "SYS"."WRH$_WAITSTAT":"WRH$_WAITST_3430975138_723"  6.992 KB       0 rows
. . exported "SYS"."WRH$_WAITSTAT":"WRH$_WAITST_3430975138_771"  6.992 KB       0 rows
. . exported "SYS"."WRH$_WAITSTAT":"WRH$_WAITST_3430975138_828"  6.992 KB       0 rows
. . exported "SYS"."WRH$_WAITSTAT":"WRH$_WAITST_3430975138_852"  6.992 KB       0 rows
. . exported "SYS"."WRH$_WAITSTAT":"WRH$_WAITST_3430975138_895"  47.85 KB    1152 rows
. . exported "SYS"."WRM$_DATABASE_INSTANCE"              9.414 KB       8 rows
. . exported "SYS"."WRH$_OPTIMIZER_ENV"                  115.1 KB     525 rows
. . exported "SYS"."WRH$_TABLESPACE_SPACE_USAGE"         28.63 KB     384 rows
. . exported "SYS"."WRH$_PERSISTENT_SUBSCRIBERS"         18.15 KB      72 rows
. . exported "SYS"."WRH$_SERVICE_NAME"                   7.039 KB      24 rows
. . exported "SYS"."WRH$_STREAMS_POOL_ADVICE"            13.46 KB     160 rows
