Starting "SYS"."SYS_EXPORT_TABLE_01":  
Estimate in progress using BLOCKS method...
Processing object type TABLE_EXPORT/TABLE/TABLE_DATA
Total estimation using BLOCKS method: 1.228 GB
Processing object type TABLE_EXPORT/TABLE/TABLE
     Completed 120 TABLE objects in 7 seconds
Processing object type TABLE_EXPORT/TABLE/CONSTRAINT/CONSTRAINT
     Completed 113 CONSTRAINT objects in 1 seconds
Processing object type TABLE_EXPORT/TABLE/CONSTRAINT/REF_CONSTRAINT
     Completed 1 REF_CONSTRAINT objects in 0 seconds
. . exported "SYS"."WRH$_SYSMETRIC_HISTORY"              476.7 KB    8960 rows
. . exported "SYS"."WRH$_EVENT_HISTOGRAM":"WRH$_EVENT__3430975138_950"  7.015 KB       0 rows
. . exported "SYS"."WRH$_EVENT_HISTOGRAM":"WRH$_EVENT__3430975138_974"  7.015 KB       0 rows
. . exported "SYS"."WRH$_ACTIVE_SESSION_HISTORY":"WRH$_ACTIVE_3430975138_852"  26.10 KB       0 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_926"  6.992 KB       0 rows
. . exported "SYS"."WRH$_LATCH":"WRH$_LATCH_3430975138_1021"  1.627 MB   32128 rows
. . exported "SYS"."WRH$_LATCH":"WRH$_LATCH_3430975138_796"  10.99 KB       0 rows
. . exported "SYS"."WRH$_LATCH":"WRH$_LATCH_3430975138_828"  10.99 KB       0 rows
. . exported "SYS"."WRH$_LATCH":"WRH$_LATCH_3430975138_895"  10.99 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_950"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_997"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_1021"  438.6 KB   12320 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_852"  29.07 KB       0 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_895"  6.992 KB       0 rows
. . exported "SYS"."WRH$_LATCH":"WRH$_LATCH_3430975138_926"  10.99 KB       0 rows
. . exported "SYS"."WRH$_LATCH":"WRH$_LATCH_3430975138_974"  10.99 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_796"  7.828 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_997"  7.828 KB       0 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_895"  7.406 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_852"  6.593 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_895"  6.593 KB       0 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_796"  6.992 KB       0 rows
. . exported "SYS"."WRH$_FILESTATXS":"WRH$_FILEST_3430975138_852"  10.60 KB       0 rows
. . exported "SYS"."WRH$_INST_CACHE_TRANSFER":"WRH$_INST_C_3430975138_852"  15.52 KB       0 rows
. . exported "SYS"."WRH$_LATCH":"WRH$_LATCH_3430975138_950"  10.99 KB       0 rows
. . exported "SYS"."WRH$_LATCH":"WRH$_LATCH_3430975138_997"  10.99 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_1021"  1.115 MB   17988 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_828"  7.828 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_974"  7.828 KB       0 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_852"  7.406 KB       0 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_950"  7.406 KB       0 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_974"  7.406 KB       0 rows
. . exported "SYS"."WRH$_ROWCACHE_SUMMARY":"WRH$_ROWCAC_3430975138_852"  11.02 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_974"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_895"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SERVICE_STAT":"WRH$_SERVIC_3430975138_974"  7.007 KB       0 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_895"  29.07 KB       0 rows
